thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_spiritual;yes_military;yes_demography;yes_treasure;yes_custom;override_no;answer_no;no_spiritual;no_military;no_demography;no_treasure;no_custom;vide
buildings;tower;1;general;;70;8;Your fortress is too weak. We should build a new tower.;;;;10?;;-10;tower_keep;;;;-5;-5;;;
buildings;fortifications;2;general;tower_keep and military<40 and !fortification_keep;100;20;Let me build fortifications around the capital. It's costly, but well worth the bother.;;;;?20;;-30;fortification_keep;;;;?-5;;;;
buildings;school;3;monk;!school_keep;100;10;We would like to build a school in the capital for the enlightenment of the people.;;;10;;10;-15?;add_nun and school_keep;;;-10;;-5;;;
buildings;sculpture;4;merchant;treasure>60 and marketplace_keep;200;10;The Merchant's Guild would like to adorn the marketplace of the capital with a statue of Your Majesty.;;;-5;;5;-5;;;;10;;;;;
buildings;marketplace;5;merchant;!marketplace_keep;60;8;We want to build a new marketplace. It will open our economy to foreign trade.;;;-5;;10;10;marketplace_keep;;;;;-5;-15;;
buildings;centralbank;6;merchant;marketplace_keep and treasure>60 and !centralbank_keep;350;15;Our economy is flourishing thanks to our effort to regulate trade! We should create a central bank.;;;-20?;;;5;centralbank_keep;;;;;;-5?;;
buildings;church_blessing;7;monk;nb_church_keep>3;del;30;We would like you to bless the new churches.;;;15;;;-5;;;;-10;;;;;
buildings;church;8;priest;nb_church_keep<8;60;10;We need to build a new church.;;;15?;;;-10;nb_church_keep+;Don't we have enough?;;-10?;;;;;
buildings;barn;9;farmer;!barn_keep and dynasty>3;70;10;Sire, we should spend some money to build a communal barn to prevent famine.;;;;;5;-20;barn_keep;;;;;-15;;;
buildings;bird;10;priest;dynasty>1;40;5;Your people in the North are superstitious and impious. Build more churches?;;;15;;5;-10?;nb_church_keep+;;;-10;;;;;
buildings;cathedral;11;priest;!cathedral_keep;80;20;We need to start building a Cathedral in honor of the Almighty.;;;10?30;;;-30;>>>>>>>>>>>>>>>>>>>_cathedral_finished_keep;;;-10;;-5;;;
buildings;_cathedral_finished_keep;12;priest;;;;The Cathedral is built! We have to organize a grand ceremony!;;;15;5;5;-15?;cathedral_keep;;;-10;;;;cathedral_keep;
church;first_priest;13;priest;age<5;60;13;Long live the King! I will pray for the prosperity of Your Majesty.;;;20?;;;-10;;;;-20?;;;5;;
church;schizm;14;priest;spiritual>60;40;20;There's a crisis in your Church. We need to reform our religion!;Sure, let's do it...;;20;-10;-10;;>inquisition2;Whoa, not so fast...;;-10;;;;;
church;inquisition;15;priest;spiritual<40;40;25;Your Church is weak and the people blasphemous.;;;10?;;;;>;;;-5?;;;;;
church;inquisition2;16;priest;!inquisition;100;5;Give us enough power to enforce the divine justice in your country. The Pope is ready to pay the price.;;;40;-10?;-10?;20;inquisition;;;-20;5?;10?;-5;;
church;dime;17;priest;treasure<40;80;15;We would like to raise a new tax for the Church, shared with the Crown of course.;;;15;;-15?;15;;;;-10;;;;;
church;pelerinage;18;priest;;100;8;We should create a pilgrimage to the tomb of Saint Armand.;;;20;;5;-10?;>>>>>>>>>>>_starmand;;;-10;;-5;;;
church;saint;19;priest;cathedral_keep;50;10;Sire, would you like to assist in the inhumation of Saint Romuald in the Cathedral?;;;10?;;;-10?;;You don't need me...;;-10?;;;;;
church;wiches;20;priest;spiritual<40 and year>720;50;12;A large part of the country is worshipping false gods. We must burn witches!;I don't want to know;;20?;;-5?;;witchhunt and isCoward;No you must not;;-5?;;10?;;;
church;;21;monk;;120;8;We... may have a problem. A monk has started to bite his brothers... And it's spreading fast.;General!;;10?;;;;>;Werewolves?;;-10?;;;;add_werewolf and >_weremonks;
;_;22;general;;;;This is probably a case of lycanthropy. I don't deal with that.;Werewolves?;;-10?;;;;add_werewolf and >_weremonks;I command you;<i><general> puts the monks in prison. They confessed under the torture that they were indeed werewolves.</i>;;-10?;;;add_werewolf and >_weremonks;
;_weremonks;23;werewolf;;;;Werewolves... I don't think so, no... You should call that "cruel lack of physical activity".;I...;;;;;;;Well...;;;;;;;
church;;24;anyone;;130;8;A convent of nuns has started meowing like cats. It's spreading to the village.;General!;<i>You send the army to stop the nun-meowing. The Church is embarrassed, but approves.</i>;5?;-15?;;;witchhunt;Why would I care?;<i>The nuns kept meowing for ages. In the end the Church declared them heretics and burnt down the convent.</i>;-15?;;;;;
church;witchhunt;25;witch;witchhunt;15;100;Please stop the cowardly and stupid massacre of innocent young women.;;;-10?;;10;;!witchhunt and yes_witch++;I don't know about that;;10;;-20;;isCoward;
church;wiches_alt;26;anyone;spiritual>60 and demography<40 and year>620;40;10;A large mob is attacking the main cathouse in the city. They say they're possessed by the devil!;Disperse the mob!;;-5;;-10;;;I need more information!;;10;;;;witchhunt and isCoward;
church;theocracy;27;priest;inquisition;200;12;You are under arrest. You have broken the commandments of the blessed Church.;I repent;;5;-20?;;-5;theocracy;Go to hell!;;-100;;;;>_end_fire;
church;money_church;28;priest;nb_church_keep>3;46;10;I request your help to maintain the Church estates in good condition.;;;10;;;-15;;;;-5;;-5;;;
church;mess;29;priest;;80;10;I would like to conduct a mass to the memory of your father.;;;5;;;-10;;;;-10?;-10?;;;;
church;;30;monk;!has_prophet;del;50;A man claims the recent epidemic of dysentery was in God's plan to bring Love to the world.;;<i>A man enters the throne room, pushing <monk> away.</i>;-5;;;;add_prophet and >;No, I'm...;<i>A man enters the throne room, pushing <monk> away.</i>;-5;;;;add_prophet and >;
church;_;31;prophet;;;;Brother! Pray with me. Angels sent me signs of His will and it's not looking good. The Beast!;What signs?;;-5;;;;>;This is a private throne room;;-5;;;;>_prophetroom;
church;_;32;prophet;;;;Wherever I go, everything crumbles and dies horribly. I bring the Devil to fortify Our Father's Faith!;All right...;;;;-5;;>_prestprophet;Guard!;;;-5;;;>_prestprophet;
church;_prophetroom;33;prophet;;;;No it isn't. This is the land I walk, thus it is God's land.;We will see...;;;;-5;;>;Guard!;;;-5;;;>;
church;_prestprophet;34;priest;;;;This is outrageous! This is contagious! This heretic needs to burn!;;<i>Reluctantly, the executioner takes the Prophet away.</i>;5;;;;>_ressucite;;;-5;;;;>;
church;_judegeprophet;35;nobleman;;;;My Lord, the <priest> judged <prophet> a heretic and sent him to the executioner!;Oh well...;;10;;;;>_ressucite;Can't any of you just do what I say?;;;-5;;;>_ressucite;
church;_ressucite;36;prophet;;;;I was resurrected to spread the words of Joy and Love for God in this crumbling country! ;<i>Nervous laugh</i>;;;;5;;>;<i>Deep sigh</i>;;;;5;;>;
church;_;37;executioner;;;;Not my fault. He tripped on a guard with a torch, resulting in the burning of the gibbet.;<i>Concerned smirk</i>;;;-5;;;;<i>Low curse</i>;;;-5;;;;
church;;38;prophet;;80;10;I will show the way of righteousness to your merchants. Behold!;;;-5;-5?;5?;;>;Please no. I can pay.;<i><prophet> leaves, brooding, but with your money.</i>;;;;-10;;
church;_;39;merchant;;;;Sire... There's been a problem with...;I will pay;<i><prophet> managed to enrage the cattle while preaching at the market. There are a lot of casualties.</i>;;;;-20;;<i>Ignore</i>;<i><prophet> managed to enrage the cattle while preaching at the market. There are a lot of casualties.</i>;-5;-5;-10;;;
church;;40;prophet;;100;10;I want to visit our godless neighbours. Except if you need me here?;;;-5;-5;;-5;;;<i><prophet> managed to destabilize the neighbours' country, strengthening your own position.</i>;;10?;-5;?20;;
church;;41;diplomat;has_prophet;del;10;<prophet> is crazy my Lord, but quite harmless. Your people love him. He's called the "Clumsy Prophet".;Let him be;;-15?;-5;10;-5;;Keep an eye on him;;5?;;-5;;;
church;;42;anyone;has_prophet and year>1000;del;100;<prophet> was trying to burn alleged envoys of the Antichrist yet he managed to kill himself!;Let's organize a pretty funeral;;-5?;;15?;-5;del_prophet;Good riddance;;5?;;-10?;;del_prophet;
church;;43;anyone;!has_prophet and year>1100;del;14;The rumor is spreading there's a new prophet on Earth.;I suppose...;;;;;;add_prophet and >;No way...;;;;;;add_prophet and >;
church;_;44;prophet>fanzy;;;;Remember me? I'm resurrected again!;Congratulations;;-5?;;10?;;;I don't believe you;;5?;;-10?;;;
church;;45;prophet>fanzy;year>1100;100;10;Your priests and monks are not the envoys of the Lord.;Yes they are;;5?;;;;;No they're not;;-15?;;;;;
church;priestunhappy;46;priest;no_priest>1;60;10;It seems my advice is not to your liking. You know Who rules above men and Kings!;I repent;;15?;;;;;It's certainly not you;;-10?;;;;>>>>_priesttreason;
treason;_priesttreason;47;priest;;;;Whether you want to or not, I need you in the crypt of Saint Armand. It's a matter of life and death.;;;5;;-5?;;>;;;-15?;;;;>;
treason;_crypt_death;48;priest;;;;May the Saints forgive your sins <i>(you feel someone behind your back)</i>.;Explain yourself!;<i>You're grasped from behind by an armed monk.</i>;100?;;;;>_end_fire;Guards!;<i>You manage to escape the trap, in extremis. The <priest> is sent to the executioner.</i>;-20?;;;;del_priest;
church;holyking;49;monk;spiritual>70;120;10;My Lord, you are a Saint! The Pope wants to establish his estates here!;;;10;-15?;-5;15;;;;-15?;;;;>>>priestunhappy;
conspiracy;rumour;50;doctor;has_nobleman and !conspiracy_keep;100;15;My Lord, could I talk to you in private? I know the priest will have to wait but this is a very important matter...;;<i>The doctor enters a side room. He talks nervously about <nobleman>, who was ill the previous week.</i>;-5?;5;5;;>;;;10;-5?;-5?;-5?;>church;
conspiracy;_rumour2;51;doctor;;;;During his fitful sleep, <nobleman> gave me details about a conspiracy against you. Should we bring him in?;;;;;;;>;;;;-5?;-5?;-5?;;
conspiracy;_rumour3;52;nobleman;;;;This is not true!! Your doctor has a wicked soul. You should ask him about the hidden room...;Tell me the truth!;<i>As you finish the sentence, <nobleman> falls to his knees, screaming</i> the Senator!;-5?;;;;> and del_nobleman and conspiracy_keep;Doctor?;;5;;-5?;;>_hidden_room;
conspiracy;_rumour4;53;doctor;;;;No pulse! This is poison! Someone doesn't want him to talk.;;;;;;;;About that room...;;10?;;;;>_hidden_room;
conspiracy;;54;merchant;conspiracy_keep;120;10;Someone murdered a rich merchant. It is said that the Senator did it. Should we investigate?;;;;;;5?;;;;;-5;;-15?;;
conspiracy;rumour_spy;55;spy;conspiracy_keep;200;10;The toads in the pond are whispering about the Senator.;The toads?;;;;;-10;>;Get lost;;;;;;;
conspiracy;_rumour_spy2;56;spy;;;;The Senator is hiding in plain sight.;Is that it?;;;;;;;;;;;;;;
conspiracy;intro;57;spy;;400;12;I'm not there... I'm a shadow...;Pardon me?;;;;;;;Is this a joke or...;;;;;;;
conspiracy;;58;spy;!terrorism;100;10;A slithering snake sneaks in your sleeve.;Yes?;;;;;;>>>>terror;Get lost;;;;;;>>>>terror;
conspiracy;rumour1;59;spy;has_nun and school_keep;200;6;The school is full of rats spreading rampant rumors. I have an informant, should I investigate?;;;-5?;5?;;-8;>;;;;-10?;;;;
conspiracy;_;60;spy;;;;Oh... this is embarrassing. It involves the headmistress, <nun>...;;;-10;;;;>;I don't want to know...;;10;;;;;
