run,order,phase,trigger,chain_label,description,event_pool_or_id,requires_tags_or_state,effects_focus,notes
1,01,phase:1,always,Run Intro,"New guild master assignment; optional quick brief","run_intro_01 | meta_moderator_intro_01","run:intro; tutorial (one-shot intro persists)",none,Starts every run
1,02,phase:1,always,Meet Crew (Core),"Meet Tank / Healer / DPS / Support (whispers)","intro_tank_00|01; intro_healer_00|01; intro_dps_00|01; intro_support_00|01","meta:intro; character:(tank|healer|dps|support)",none,One-shots — shown only if unseen
1,03,phase:1,always,Lore/Checklist,"Diegetic checklist posted (optional)","lore_etiquette_01","tutorial; meta:lore",none,One-shot tutorial flavor
1,04,phase:1,always,Early Asks,"Small decisions to set tone","healer_budget_01; dps_priority_01; support_exp_rotation_01; tank_standards_01","require:intro:<role>; chain:<role>:1",funds|reputation|readiness,Light ±1..±2
1,05,phase:1,always,Raid Night,"First dungeon/raid check (low stakes)","raid_night_check_01","raid_night_check",readiness,Authored outcome copy only
1,06,phase:1,resource:funds<=3,Economy Chain,"Council fee or deferral","meta_council_01","meta:council",funds|reputation,Appears with cadence or low funds
1,07,phase:1,resource:readiness<=3,Tank Logistics,"Bench now vs coach quietly","tank_bench_02","require:run>=3 (future), require:intro:tank",readiness|reputation,For Run≥3; use Random Pool until then
1,08,phase:1,resource:reputation<=3,PR Chain,"Address rumor vs ignore","pr_rumor_response_02","require:intro:pr (Run≥2); community_pr",reputation,PR/Bard arrives in Run 2 intros
1,09,phase:1,choice_memory,Memory Variants,"Roles react to last choices","healer_gratitude_01 | dps_resentment_01 | support_trust_01 | tank_coop_01","require:choice:<id>:left|right",meta,Keeps deck feeling alive
1,10,phase:1,none,Random Filler,"Server/Logistics/Economy small beats","random_*","random_pool; random:<category>",mixed,Use for pacing between chains
1,11,phase:1,until_collapse,Throw Chains,"Alternate asks, randoms, and meta until a collapse","(pool selection)","require:* gates; anti-repetition",mixed,Loss when any meter hits 0
1,12,phase:1,collapse,End of Run,"Show collapse summary + hint","collapse_funds_01 | collapse_reputation_01 | collapse_readiness_01","meta:collapse; cause:*",none,Persists legacy + history
2,01,phase:1,always,Run Intro,"New guild master assignment","run_intro_01 | meta_moderator_intro_01","run:intro",none,Intros from Run 1 are remembered
2,02,phase:1,always,Meet New Crew (Support),"Meet Recruiter / Treasurer / PR / Compliance / Ranged DPS / Off Tank / Bad Healer / Officer (whispers)","intro_recruiter_00|01; intro_treasurer_00|01; intro_pr_00|01; intro_compliance_00|01; intro_rdps_00|01; intro_tank2_00|01; intro_healer_bad_00|01; intro_officer_00|01","meta:intro; character:(recruiter|treasurer|pr|compliance|rdps|tank2|healer_bad|officer)",none,These are also one-shots
2,03,phase:1,always,New Person Chains,"First asks from new roles","recruiter_fill_gap_01; treasurer_bulk_buy_01; compliance_logs_rule_01; rdps_utility_shift_01; tank2_role_ask_01; healer_bad_slot_01; pr_streamer_request_01","require:intro:<role>",funds|rep|ready,Introduce new levers
2,04,phase:1,resource:funds|rep|ready thresholds,Resource-Driven Chains,"Auto-surface matching chains based on meters","meta_council_01; pr_rumor_response_02; tank_bench_02; random_latency_spike_01","meter:<key><=3 gates",mixed,Cadence: avoid back-to-back meta
2,05,phase:2,run>=3,Wrongness Seeds,"Deniable anomalies begin","healer_repeat_dm_03; tank_mismatch_03; rdps_log_preexists_03; treasurer_receipt_glitch_03; compliance_report_glitch_03","require:run>=3; require:intro:<role>",reputation flavor,Start in later runs (3–4)
2,06,phase:2,branch_by_choice,Memory Bridges,"Bridge cards from previous decisions","campaign_logs_effect_01; economy_pr_follow_01; rival_after_priority_01","require:choice:<id>:<side>",mixed,Links arcs together
2,07,phase:2,until_collapse,Throw Chains,"Alternate arcs + randoms until a collapse","(pool selection)","require:* gates; anti-repetition",mixed,Loss when any meter hits 0
N,01,phase:3,run>=5,Compliance Arc,"Hook→Sweep→False Accusation→Vote→Public Thread→Epilogue","compliance_hook_01; compliance_sweep_02; compliance_false_accuse_03; compliance_vote_04; compliance_climax_05; compliance_epilogue_06","require:seen per step; run>=5 for climax",rep|funds|ready,Deeper arc unlocked mid-runs
N,02,phase:3,run>=5,Campaign Arc,"Focus→Hours→Mid-Tier outcome","arc_campaign_hook_01; arc_campaign_hours_02; arc_campaign_outcome_03","require:seen per step",funds|ready,Pairs with Treasurer/PR choices
N,03,phase:3,run>=5,Ethics Arc,"Bank Error→Small Audit→Trust Post","arc_ethics_hook_01; arc_ethics_audit_02; arc_ethics_trust_03","require:seen per step",funds|rep,Devil bridge if ‘quiet split’
N,04,phase:3,run>=5,Economy Arc,"Dues Talk→Sponsor Offer→PR Note","arc_economy_hook_01; arc_economy_sponsor_02; arc_economy_post_03","require:seen per step",funds|rep,Interacts with Council cadence
N,05,phase:4,run>=7,Devil as GM,"Offer→Marker→Memory","arc_devil_hook_01; arc_devil_marker_02; arc_devil_memory_03","require:run>=7; choice-gated",rep|funds meta,Weight-capped rare intrusions
N,06,phase:5,run>=9,Revelation,"Explicit system overlay + reset","(narrative system) or final cards","phase:5; run>=9",none,Reveals AI #47 + cycle reset
